City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san juan del sur,11.2529,-85.8705,32.12,70,40,3.09,NI,1695926540
1,olinda,-8.0089,-34.8553,28.85,54,0,3.6,BR,1695926540
2,weno,7.4515,151.8468,27.97,89,100,4.12,FM,1695926540
3,acapulco de juarez,16.8634,-99.8901,31.9,66,20,3.6,MX,1695926540
4,waitangi,-43.9535,-176.5597,9.34,96,100,4.47,NZ,1695926540
5,aykhal,66.0,111.5,-4.42,56,75,1.26,RU,1695926540
6,ushuaia,-54.8,-68.3,10.79,57,0,8.23,AR,1695926265
7,grytviken,-54.2811,-36.5092,1.48,99,100,3.44,GS,1695926541
8,konongo,6.6167,-1.2167,23.88,98,94,1.25,GH,1695926541
9,bethel,41.3712,-73.414,19.42,72,100,3.09,US,1695926349
10,ippy,6.2679,21.2247,22.05,94,100,0.56,CF,1695926541
11,puerto ayora,-0.7393,-90.3518,30.98,95,72,2.68,EC,1695926541
12,adamstown,-25.066,-130.1015,20.76,75,99,7.36,PN,1695926541
13,slave lake,55.2834,-114.769,11.99,71,100,1.54,CA,1695926380
14,port mathurin,-19.6833,63.4167,22.55,80,64,10.81,MU,1695926541
15,edinburgh of the seven seas,-37.0676,-12.3116,11.02,57,100,9.27,SH,1695926542
16,minas de marcona,-15.2119,-75.1103,18.02,64,20,8.48,PE,1695926542
17,ilulissat,69.2167,-51.1,2.01,87,75,0.51,GL,1695926542
18,tiksi,71.6872,128.8694,-1.68,88,100,8.99,RU,1695926542
19,boden,65.8252,21.6886,11.0,90,88,2.48,SE,1695926542
20,bima,-8.4667,118.7167,22.52,80,96,1.68,ID,1695926542
21,port-aux-francais,-49.35,70.2167,2.08,74,15,15.56,TF,1695926542
22,papatowai,-46.5619,169.4708,8.9,75,62,7.52,NZ,1695926542
23,pathein,16.7833,94.7333,24.47,94,100,1.47,MM,1695926542
24,tsiombe,-25.3,45.4833,22.34,69,0,3.77,MG,1695926543
25,kardla,58.9978,22.7492,16.7,88,5,3.85,EE,1695926543
26,olonkinbyen,70.9221,-8.7187,3.34,88,93,7.96,SJ,1695926543
27,vila velha,-20.3297,-40.2925,23.97,84,100,9.83,BR,1695926543
28,vadso,70.0744,29.7487,8.49,100,75,1.54,NO,1695926543
29,badger,64.8,-147.5333,1.11,87,40,1.54,US,1695926543
30,kupang,-10.1667,123.5833,24.32,73,63,2.57,ID,1695926543
31,klyuchi,52.2667,79.1667,10.66,67,100,1.77,RU,1695926543
32,bekovo,52.4663,43.712,12.2,56,11,1.68,RU,1695926543
33,port elizabeth,-33.918,25.5701,17.83,89,20,5.14,ZA,1695926544
34,fale old settlement,-9.3852,-171.2468,28.57,76,20,8.16,TK,1695926544
35,hawaiian paradise park,19.5933,-154.9731,27.16,88,40,2.57,US,1695926544
36,ghat,24.9647,10.1728,30.69,20,78,2.63,LY,1695926544
37,phan rang-thap cham,11.5667,108.9833,25.76,77,100,1.51,VN,1695926544
38,udachny,66.4167,112.4,-3.64,62,19,2.03,RU,1695926544
39,acarau,-2.8856,-40.12,29.52,58,51,7.18,BR,1695926544
